id,host_id,host_since,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,price,minimum_nights,maximum_nights,availability_365,number_of_reviews_ltm,last_review,review_scores_rating,license,bedrooms,amenities_count
52725353,426845799,2021-10-11,f,5e Arrondissement,45.7634391,4.8281601,Entire home/apt,4,1.0,135.0,1,1125,144,11,2024-06-03,4.71,licensed,2.0,23
52726908,137027825,2017-06-26,f,4e Arrondissement,45.77658,4.83029,Entire home/apt,2,1.0,98.0,1,1125,173,11,2024-09-08,4.7,licensed,1.0,27
52744673,29435313,2015-03-16,t,6e Arrondissement,45.76418,4.85722,Entire home/apt,3,1.0,62.0,1,1125,311,112,2024-09-12,4.77,licensed,1.0,41
52744985,340471229,2020-03-06,t,2e Arrondissement,45.73855,4.81816,Entire home/apt,4,1.0,140.0,7,90,349,7,2024-08-31,5.0,licensed,1.0,48
52747044,46301953,2015-10-11,f,7e Arrondissement,45.73402,4.82748,Entire home/apt,4,1.0,110.0,6,365,0,0,2021-10-24,4.0,licensed,1.0,11
52748589,219393761,2018-10-08,f,8e Arrondissement,45.74428,4.8742,Entire home/apt,2,1.0,50.0,2,1125,276,0,2023-07-18,4.77,licensed,0.0,19
52764549,389073157,2021-02-18,f,8e Arrondissement,45.73686,4.85137,Private room,1,1.0,40.0,2,4,0,0,2023-06-04,5.0,Unlicensed,1.0,43
52766960,24415292,2014-12-02,f,1er Arrondissement,45.76952,4.83183,Entire home/apt,5,1.0,91.0,1,1125,304,130,2024-08-26,4.82,licensed,2.0,41
52785101,24060792,2014-11-23,f,2e Arrondissement,45.74169,4.82233,Private room,4,1.0,60.0,5,5,0,0,2021-12-12,5.0,licensed,2.0,54
52785292,41411427,2015-08-13,f,1er Arrondissement,45.76836,4.83776,Entire home/apt,4,1.0,190.0,2,4,0,5,2024-06-23,4.82,licensed,1.0,22
52786781,174216175,2018-02-19,t,3e Arrondissement,45.75761,4.86364,Entire home/apt,2,1.0,61.0,2,30,75,50,2024-07-27,4.8,licensed,1.0,38
52792610,74488172,2016-05-28,f,3e Arrondissement,45.75922,4.84302,Entire home/apt,3,1.0,250.0,2,2,0,0,2021-12-12,5.0,licensed,1.0,45
52794357,20075755,2014-08-15,t,4e Arrondissement,45.77904510498047,4.832842826843262,Entire home/apt,6,2.0,300.0,2,1125,203,8,2024-05-21,4.96,licensed,3.0,60
52802376,305215597,2019-10-29,t,5e Arrondissement,45.76229,4.82545,Entire home/apt,8,2.0,420.0,3,365,0,13,2024-07-29,4.98,licensed,3.0,43
52818282,11010197,2014-01-04,f,3e Arrondissement,45.75538783649418,4.844584754560452,Entire home/apt,2,1.0,80.0,2,365,2,14,2024-09-08,4.94,licensed,1.0,19
52823065,81697148,2016-07-04,f,5e Arrondissement,45.75647,4.81552,Private room,2,1.0,65.0,1,3,356,4,2024-06-04,4.8,Unlicensed,1.0,43
52831770,57351370,2016-02-04,f,6e Arrondissement,45.76856,4.85714,Entire home/apt,4,1.0,210.0,2,30,0,1,2023-12-10,5.0,licensed,1.0,38
52833354,24397094,2014-12-02,t,3e Arrondissement,45.76227,4.86189,Private room,2,1.0,60.0,1,365,2,1,2023-12-10,5.0,Unlicensed,1.0,43
52835793,5585163,2013-03-23,t,3e Arrondissement,45.74897,4.8731,Entire home/apt,4,1.0,90.0,2,15,334,9,2024-08-10,4.85,licensed,1.0,52
52836979,48851647,2015-11-12,t,4e Arrondissement,45.77414,4.82705,Entire home/apt,2,1.0,55.0,2,90,0,10,2024-04-28,4.76,licensed,1.0,37
52842132,35236238,2015-06-07,f,3e Arrondissement,45.75536346435547,4.867171764373779,Entire home/apt,2,1.0,125.0,1,365,359,0,2023-01-19,4.55,Exempt,1.0,37
52851031,427890770,2021-10-18,t,5e Arrondissement,45.75368,4.82212,Entire home/apt,5,1.0,189.0,2,730,155,25,2024-08-07,4.91,licensed,3.0,27
52853505,11829884,2014-02-01,f,1er Arrondissement,45.77195175401125,4.832669693159499,Entire home/apt,6,2.0,105.0,1,365,23,34,2024-08-24,4.65,licensed,2.0,22
52853711,338182984,2020-02-22,f,1er Arrondissement,45.7702555,4.8376754,Entire home/apt,6,1.0,76.0,2,31,85,5,2024-06-08,4.83,licensed,2.0,53
52858634,44251997,2015-09-15,f,1er Arrondissement,45.7707,4.83257,Entire home/apt,2,1.0,200.0,2,365,179,1,2023-09-30,4.6,licensed,1.0,31
52874304,25160438,2014-12-24,f,1er Arrondissement,45.76933,4.83114,Entire home/apt,2,1.0,64.0,3,365,239,69,2024-09-08,4.68,licensed,0.0,32
52891795,15597927,2014-05-16,f,6e Arrondissement,45.76892,4.85715,Entire home/apt,2,1.0,110.0,2,31,362,0,2021-12-14,5.0,licensed,1.0,41
52893052,50435030,2015-12-03,t,7e Arrondissement,45.75239,4.84733,Entire home/apt,4,1.0,204.0,2,120,354,22,2024-07-20,4.96,licensed,2.0,39
52911291,38283011,2015-07-12,t,8e Arrondissement,45.74547,4.86653,Entire home/apt,4,1.0,83.0,2,60,134,74,2024-08-31,4.86,licensed,1.0,53
52915196,96928267,2016-09-27,t,4e Arrondissement,45.77916,4.83198,Entire home/apt,2,1.0,88.0,3,30,59,14,2024-08-19,4.91,licensed,1.0,44
52920199,20691260,2014-08-29,f,7e Arrondissement,45.74485,4.8483,Private room,2,1.0,57.0,2,10,0,5,2023-12-10,4.76,Unlicensed,1.0,47
52927266,87051298,2016-07-31,f,2e Arrondissement,45.74684,4.82053,Entire home/apt,4,1.0,200.0,2,5,0,0,2021-12-12,4.75,licensed,2.0,46
52927600,402191311,2021-05-18,f,7e Arrondissement,45.75057,4.84092,Entire home/apt,2,1.0,100.0,1,1125,315,16,2024-09-06,4.61,licensed,1.0,25
52930286,69774205,2016-05-01,f,1er Arrondissement,45.76935,4.83223,Entire home/apt,2,1.0,89.0,2,365,360,0,2023-05-20,4.83,licensed,0.0,16
52932342,11222678,2014-01-12,f,7e Arrondissement,45.74839,4.84506,Entire home/apt,2,1.0,75.0,2,6,0,0,2022-06-27,5.0,licensed,1.0,33
52947141,79348880,2016-06-22,t,1er Arrondissement,45.77081,4.83294,Private room,2,1.0,70.0,1,365,339,25,2024-07-28,4.75,Unlicensed,1.0,9
52950823,229266407,2018-12-05,f,8e Arrondissement,45.72622,4.87971,Private room,1,1.0,28.0,3,365,230,6,2024-02-16,5.0,Unlicensed,1.0,30
52957025,32063864,2015-04-27,f,5e Arrondissement,45.75353,4.82323,Entire home/apt,2,1.0,85.0,2,1125,0,0,2022-05-27,4.75,licensed,1.0,26
52976052,41346185,2015-08-13,t,1er Arrondissement,45.77061,4.8188,Private room,1,1.0,49.0,2,5,59,22,2024-09-03,4.97,Unlicensed,1.0,44
53003837,429091649,2021-10-26,f,7e Arrondissement,45.73757,4.82785,Private room,2,1.0,80.0,1,30,0,0,2023-05-21,4.97,Unlicensed,1.0,46
53007045,250704874,2019-03-23,f,3e Arrondissement,45.7471,4.871,Private room,2,2.0,25.0,4,365,0,0,2023-04-07,4.67,Unlicensed,1.0,4
53027053,316423644,2019-12-11,f,9e Arrondissement,45.77525,4.80633,Entire home/apt,2,1.0,45.0,2,365,243,27,2024-08-04,4.65,licensed,1.0,28
53027524,107251159,2016-12-14,f,1er Arrondissement,45.76957,4.82695,Entire home/apt,4,1.0,80.0,4,1125,346,0,2022-08-06,4.71,licensed,1.0,33
53028614,262190191,2019-05-16,t,2e Arrondissement,45.74517,4.82658,Private room,4,1.0,90.0,2,20,4,9,2024-07-17,4.9,Unlicensed,1.0,35
